Python,Cython,Mejora
5.55485, 1.48593, 4.319714
5.56088, 1.27997, 3.757428
5.54799, 1.28018, 3.302021
5.54819, 1.27633, 3.519688
5.54686, 1.28549, 3.498515
5.57842, 1.27981, 3.320864
5.55173, 1.27763, 3.309270
5.55405, 1.24250, 3.850295
5.55286, 1.28034, 4.022820
5.61856, 1.26284, 3.595096
5.67796, 1.28087, 4.111872
5.57030, 1.27722, 4.361269
5.55704, 1.28004, 3.517025
5.55369, 1.22629, 3.893801
5.60823, 1.21875, 3.692662
5.56702, 1.20584, 3.959924
5.56896, 1.27178, 4.378871
5.66799, 1.22187, 5.052270
5.74020, 1.23636, 4.642822
5.67707, 1.27363, 5.287734
